,Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Type,Amount,Month,Year
190,202,2018-12-07,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta",Seed/ Angel Funding,1.476,12,2018
191,203,2018-12-07,5th Vital,Healthcare,Home diagnostics services provider,Bengaluru,Brand Capital,Seed/ Angel Funding,4.1,12,2018
192,204,2018-07-13,MEngage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab .",Seed/ Angel Funding,1.435,7,2018
193,205,2018-07-17,Ofbusiness,Finance,Online Lending Platform For SME,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,237.8,7,2018
194,206,2018-07-17,Cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,"Kingsway FCI Fund, KCK Global",Private Equity,407.54,7,2018
195,207,2018-07-18,The Ken,Consumer Internet,Subscription-Only News Website,Bengaluru,Omidyar Network,Seed/ Angel Funding,12.3,7,2018
196,208,2018-07-19,Book My Show,Consumer Internet,Online Ticketing Platform,Mumbai,"TPG Growth, The Rise Fund",Private Equity,820.0,7,2018
197,210,2018-07-21,PaySense,Consumer Internet,Online Consumer Lending Platform,Mumbai,PayU,Private Equity,147.6,7,2018
198,212,2018-07-23,VTION,Technology,Media Analytics,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed/ Angel Funding,2.296,7,2018
199,213,2018-07-23,Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,Bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners",Seed/ Angel Funding,3.5752,7,2018
200,214,2018-07-24,kidovators,Ed-Tech,Skill Learning Platform,Bengaluru,Gray Matters,Seed/ Angel Funding,1.476,7,2018
201,215,2018-07-24,Digit,Consumer Internet,Online Insurance Startup,Pune,Fairfax,Private Equity,369.0,7,2018
202,216,2018-07-25,Black Soil,Finance,Non-Banking Financial Company,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,139.4,7,2018
203,217,2018-07-25,Trell,Consumer Internet,Mobile-First Video Blogging App,Bengaluru,"BeeNext , WEH Ventures and Sprout Ventures",Seed/ Angel Funding,10.25,7,2018
204,218,2018-07-25,iqlect,Technology,Data Analytics Firm,Bengaluru,Ventureast and Exfinity,Seed/ Angel Funding,20.5,7,2018
205,219,2018-07-26,Entropik,IT,Software-As-A-Service Platform,Bengaluru,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta",Seed/ Angel Funding,9.02,7,2018
206,220,2018-07-26,Bitla Software,Technology,Travel-Focused Tech Startup,Bengaluru,MakeMyTrip,Private Equity,0.0,7,2018
207,221,2018-07-26,TheCapitalNet,Fin-Tech,Unified Global Investments Ecosystem,Hyderabad,Lindwall Family Investments LLC,Private Equity,4.1,7,2018
